Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/shorten/,4715,3,160.0,412.1593815764575,11.437827000008838,5658.309364000161,105.88101802757159,49.72217861184865,0.031636592966181536,160,280,470,650,1200,1700,2500,3100,4500,5700,5700
,Aggregated,4715,3,160.0,412.1593815764575,11.437827000008838,5658.309364000161,105.88101802757159,49.72217861184865,0.031636592966181536,160,280,470,650,1200,1700,2500,3100,4500,5700,5700
